NO,共通ID,都道府県名及び市町村名,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E0110000001111,北海道札幌市,もみじ台中学校,北海道札幌市厚別区もみじ台西1-1-1,1,,,43.03806002,141.4847101,
2,E0110000002111,北海道札幌市,もみじの森小学校,北海道札幌市厚別区もみじ台西3-4-1,1,,,43.0317372,141.4862899,
3,E0110000004111,北海道札幌市,もみじ台東第１集会所,北海道札幌市厚別区もみじ台東1-1,,,,43.03152508,141.4938245,
4,E0110000005111,北海道札幌市,もみじの丘小学校,北海道札幌市厚別区もみじ台東4-5-1,1,,,43.02982537,141.497646,
5,E0110000006111,北海道札幌市,光生舎ゆいま～る・もみじ台,北海道札幌市厚別区もみじ台南3-4,,,,43.02438651,141.4949528,
6,E0110000008111,北海道札幌市,もみじ台北第２集会所,北海道札幌市厚別区もみじ台北4-7,,,,43.03572462,141.4874945,
7,E0110000009111,北海道札幌市,星槎札幌もみじキャンパス・星槎国際高等学校・星槎もみじ中学校,北海道札幌市厚別区もみじ台北5-12-1,,,,43.03591973,141.492393,
8,E0110000013111,北海道札幌市,天理教羽幌分教会,北海道札幌市厚別区厚別西五条4-1-1,,,,43.054049797485,141.4622711013,
9,E0110000675111,北海道札幌市,ベルコユアホール厚別西,北海道札幌市厚別区厚別西五条6-2-8,,,,43.0556487001227,141.467691667126,
10,E0110000010111,北海道札幌市,厚別西小学校,北海道札幌市厚別区厚別西三条1-3-1,1,,,43.04815755,141.4577477,
11,E0110000011111,北海道札幌市,厚別通小学校,北海道札幌市厚別区厚別西四条3-10-30,1,,,43.05244543,141.4618346,
12,E0110000012111,北海道札幌市,厚別西地区センター,北海道札幌市厚別区厚別西四条4-10-1,,,,43.0529828,141.4656839,
13,E0110000014111,北海道札幌市,厚別区民センター,北海道札幌市厚別区厚別中央一条5-3-14,,,,43.036623,141.474432,
14,E0110000015111,北海道札幌市,札幌市厚別老人福祉センター,北海道札幌市厚別区厚別中央一条7-17-25,,,,43.03839837,141.4800974,
15,E0110000018111,北海道札幌市,信濃中学校,北海道札幌市厚別区厚別中央三条2-3-1,1,,,43.03646776,141.4596896,
16,E0110000019111,北海道札幌市,智徳寺,北海道札幌市厚別区厚別中央三条4-8-20,,,,43.04018364,141.4685466,
17,E0110000020111,北海道札幌市,大行寺,北海道札幌市厚別区厚別中央三条5-1-1,,,,43.04038472,141.4695582,
18,E0110000021111,北海道札幌市,札幌東商業高校,北海道札幌市厚別区厚別中央三条5-6-10,,,,43.04191377,141.4707491,
19,E0110000022111,北海道札幌市,厚別信濃会館（厚別中央まちづくりセンター）,北海道札幌市厚別区厚別中央四条3-3-6,,,,43.04266878,141.4620435,
20,E0110000023111,北海道札幌市,信濃小学校,北海道札幌市厚別区厚別中央四条3-6-1,1,,,43.04199109,141.4634453,
21,E0110000016111,北海道札幌市,ひばりが丘小学校,北海道札幌市厚別区厚別中央二条4-3-1,1,,,43.03649545,141.4661225,
22,E0110000017111,北海道札幌市,厚別区体育館,北海道札幌市厚別区厚別中央二条5-1-20,1,,,43.037291,141.4704202,
23,E0110000024111,北海道札幌市,北星学園大学附属高校,北海道札幌市厚別区厚別町下野幌38,,,,43.03924044,141.5007523,
24,E0110000026111,北海道札幌市,厚別北中学校,北海道札幌市厚別区厚別町小野幌774-5,1,,,43.05898728,141.4700496,
25,E0110000027111,北海道札幌市,地域交流ホーム「ひまわり」（札幌報恩学園内）,北海道札幌市厚別区厚別町上野幌822,,,,43.01695707,141.4822403,
26,E0110000029111,北海道札幌市,厚別中学校,北海道札幌市厚別区厚別東三条5-1-1,1,,,43.04706209,141.4874623,
27,E0110000030111,北海道札幌市,小野幌会館（厚別東まちづくりセンター）,北海道札幌市厚別区厚別東四条4-9-3,,,,43.04994261,141.4833362,
28,E0110000031111,北海道札幌市,厚別東小学校,北海道札幌市厚別区厚別東四条8-1-1,1,,,43.05504357,141.486578,
29,E0110000032111,北海道札幌市,札幌啓成高校,北海道札幌市厚別区厚別東四条8-6-1,,,,43.05625461,141.4897348,
30,E0110000028111,北海道札幌市,小野幌小学校,北海道札幌市厚別区厚別東二条4-5-1,1,,,43.04401832,141.4850521,
31,E0110000033111,北海道札幌市,厚別南会館（厚別南まちづくりセンター・児童会館）,北海道札幌市厚別区厚別南1-15-10,,,,43.02913099,141.4653217,
32,E0110000034111,北海道札幌市,共栄小学校,北海道札幌市厚別区厚別南2-21-22,1,,,43.02979719,141.4705802,
33,E0110000035111,北海道札幌市,新札幌わかば小学校,北海道札幌市厚別区厚別南7-9-1,1,,,43.02249241,141.4791671,
34,E0110000036111,北海道札幌市,厚別北小学校,北海道札幌市厚別区厚別北二条3-3-1,1,,,43.05493419,141.4756115,
35,E0110000698111,北海道札幌市,カミニシヴィレッジ,北海道札幌市厚別区上野幌1-2,,,,43.0190833514468,141.4692562578966,
36,E0110000037111,北海道札幌市,上野幌中学校,北海道札幌市厚別区上野幌二条3-10-1,1,,,43.01558983,141.471808,
37,E0110000038111,北海道札幌市,ノホロの丘小学校,北海道札幌市厚別区上野幌二条4-5-1,1,,,43.01410227,141.4753723,
38,E0110000040111,北海道札幌市,青葉中学校,北海道札幌市厚別区青葉町10-1-1,1,,,43.02462049,141.4801516,
39,E0110000041111,北海道札幌市,青葉会館,北海道札幌市厚別区青葉町3-2-26,,,,43.032879081823,141.4777684394,
40,E0110000044111,北海道札幌市,北星学園大学,北海道札幌市厚別区大谷地西2-3-1,1,,,43.02587285,141.447593,
41,E0110000045111,北海道札幌市,大谷地団地町内会館,北海道札幌市厚別区大谷地西3-15-1,,,,43.02271759,141.4505551,
42,E0110000046111,北海道札幌市,大谷地東小学校,北海道札幌市厚別区大谷地東5-8-1,1,,,43.02397992,141.458663,
43,E0110000047111,北海道札幌市,厚別南中学校,北海道札幌市厚別区大谷地東7-1-1,1,,,43.02879204,141.4600379,
44,E0110000049111,北海道札幌市,稲穂会館（稲穂金山まちづくりセンター）,北海道札幌市手稲区稲穂三条5-1-28,,,,43.12440319,141.2210873,
45,E0110000050111,北海道札幌市,手稲養護学校,北海道札幌市手稲区稲穂三条7-6-1,,,,43.12823192,141.2123466,
46,E0110000051111,北海道札幌市,稲穂中学校,北海道札幌市手稲区稲穂四条2-88-1,1,,,43.11902792,141.2271863,
47,E0110000052111,北海道札幌市,稲穂小学校,北海道札幌市手稲区稲穂四条5-189-1,1,,,43.12328511,141.2186807,
48,E0110000053111,北海道札幌市,北海道札幌稲穂高等支援学校,北海道札幌市手稲区稲穂四条7-12-1,,,,43.12722841,141.2111315,
49,E0110000048111,北海道札幌市,祥龍寺瑞龍閣,北海道札幌市手稲区稲穂二条1-3-1,,,,43.121980831002,141.23500994572,
50,E0110000055111,北海道札幌市,手稲西小学校,北海道札幌市手稲区金山三条2-8-60,1,,,43.12338362,141.2028461,
51,E0110000056111,北海道札幌市,手稲西中学校,北海道札幌市手稲区金山三条2-8-7,1,,,43.12359077,141.2038966,
52,E0110000054111,北海道札幌市,金山会館,北海道札幌市手稲区金山二条2-3-1,,,,43.12684187,141.2047507,
53,E0110000057111,北海道札幌市,手稲北小学校,北海道札幌市手稲区手稲山口653-2,1,,,43.14202822,141.2083196,
54,E0110000058111,北海道札幌市,札幌手稲高校,北海道札幌市手稲区手稲前田497,,,,43.13607812,141.2635293,
55,E0110000060111,北海道札幌市,手稲コミュニティセンター（手稲まちづくりセンター）,北海道札幌市手稲区手稲本町三条1-3-41,,,,43.11418304,141.2422454,
56,E0110000061111,北海道札幌市,手稲中央小学校,北海道札幌市手稲区手稲本町三条2-6-1,1,,,43.11558216,141.2406754,
57,E0110000062111,北海道札幌市,北海道札幌稲雲高等学校,北海道札幌市手稲区手稲本町六条4-1-1,,,,43.11547911,141.2320118,
58,E0110000066111,北海道札幌市,稲陵中学校,北海道札幌市手稲区曙七条2-6-50,1,,,43.139266,141.236484,
59,E0110000063111,北海道札幌市,手稲山口小学校,北海道札幌市手稲区曙十一条2-7-1,1,,,43.14580926,141.2357993,
60,E0110000064111,北海道札幌市,手稲区体育館,北海道札幌市手稲区曙二条1-2-46,1,,,43.12654802,141.2392312,
61,E0110000068111,北海道札幌市,新陵東小学校,北海道札幌市手稲区新発寒五条4-2-1,1,,,43.11413194,141.272661,
62,E0110000069111,北海道札幌市,新発寒地区センター（新発寒まちづくりセンター）,北海道札幌市手稲区新発寒五条4-2-2,,,,43.114234,141.271872,
63,E0110000070111,北海道札幌市,新陵中学校,北海道札幌市手稲区新発寒五条4-4-1,1,,,43.11527408,141.2740688,
64,E0110000067111,北海道札幌市,新発寒小学校,北海道札幌市手稲区新発寒二条2-1115-307,1,,,43.1071611,141.2706362,
65,E0110000071111,北海道札幌市,新陵小学校,北海道札幌市手稲区新発寒六条6-3-1,1,,,43.11971619,141.2725326,
66,E0110000074111,北海道札幌市,星置中学校,北海道札幌市手稲区星置三条5-13-1,1,,,43.13990289,141.2038631,
67,E0110000072111,北海道札幌市,星置東小学校,北海道札幌市手稲区星置二条1-6-1,1,,,43.13512334,141.2170582,
68,E0110000073111,北海道札幌市,星置地区センター（星置まちづくりセンター）,北海道札幌市手稲区星置二条3-14-1,,,,43.138206,141.210142,
69,E0110000680111,北海道札幌市,ベルコ手稲シティホール,北海道札幌市手稲区西宮の沢三条3-2-1,,,,43.1010945771563,141.259717684317,
70,E0110000075111,北海道札幌市,西宮の沢小学校,北海道札幌市手稲区西宮の沢二条4-15-1,1,,,43.10602576,141.2599792,
71,E0110000078111,北海道札幌市,手稲区民センター,北海道札幌市手稲区前田一条11-1-10,,,,43.12191137,141.2459934,
72,E0110000085111,北海道札幌市,稲積小学校,北海道札幌市手稲区前田五条7-1-1,1,,,43.12083964,141.2593029,
73,E0110000082111,北海道札幌市,タケシンスクエアビル,北海道札幌市手稲区前田四条10-2-8,,,,43.122854369678,141.25033255046,
74,E0110000083111,北海道札幌市,稲積中学校,北海道札幌市手稲区前田四条5-2-1,1,,,43.11731228,141.2622338,
75,E0110000087111,北海道札幌市,前田中学校,北海道札幌市手稲区前田七条13-1-1,1,,,43.130726,141.2514732,
76,E0110000088111,北海道札幌市,北海道科学大学,北海道札幌市手稲区前田七条15,1,,,43.13475989,141.2488815,
77,E0110000076111,北海道札幌市,前田北中学校,北海道札幌市手稲区前田十条15-8-1,1,,,43.13869815,141.2522556,
78,E0110000077111,北海道札幌市,前田北小学校,北海道札幌市手稲区前田十条18-4-1,1,,,43.1433588,141.2477637,
79,E0110000080111,北海道札幌市,手稲鉄北小学校,北海道札幌市手稲区前田二条12-1-2,1,,,43.12435261,141.2457069,
80,E0110000081111,北海道札幌市,手稲前田児童会館,北海道札幌市手稲区前田二条12-1-4,,,,43.12425308,141.2467666,
81,E0110000089111,北海道札幌市,前田中央小学校,北海道札幌市手稲区前田八条12-2-1,1,,,43.13141827,141.256396,
82,E0110000086111,北海道札幌市,前田小学校,北海道札幌市手稲区前田六条11-3-1,1,,,43.12734801,141.2535771,
83,E0110000090111,北海道札幌市,富丘小学校,北海道札幌市手稲区富丘一条6-4-1,1,,,43.11450171,141.252255,
84,E0110000091111,北海道札幌市,手稲中学校,北海道札幌市手稲区富丘三条5-2-1,1,,,43.10792405,141.247944,
85,E0110000092111,北海道札幌市,札幌真栄高等学校,北海道札幌市清田区真栄236-1,,,,42.97216283,141.452036,
86,E0110000093111,北海道札幌市,真栄地区会館,北海道札幌市清田区真栄二条2-1-57,,,,42.993399,141.441346,
87,E0110000094111,北海道札幌市,清田区民センター（清田まちづくりセンター）,北海道札幌市清田区清田一条2-5-35,,,,43.00513314,141.4400643,
88,E0110000095111,北海道札幌市,清田小学校,北海道札幌市清田区清田一条4-3-30,1,,,43.00127496,141.4403063,
89,E0110000096111,北海道札幌市,清田児童会館,北海道札幌市清田区清田一条4-3-53,,,,43.00051518,141.4412022,
90,E0110000105111,北海道札幌市,里塚・美しが丘地区センター,北海道札幌市清田区清田区里塚二条5-1-1,,,,42.98275727,141.4644177,
91,E0110000101111,北海道札幌市,清田南小学校,北海道札幌市清田区清田五条2-18-1,1,,,42.99660646,141.4303112,
92,E0110000099111,北海道札幌市,清田中学校,北海道札幌市清田区清田三条3-7-1,1,,,42.99712649,141.4343875,
93,E0110000100111,北海道札幌市,札幌国際大学,北海道札幌市清田区清田四条1-4-1,,,,43.00050141,141.4262368,
94,E0110000103111,北海道札幌市,清武館,北海道札幌市清田区清田七条2-16-18,,,,42.99073837,141.4298053,
95,E0110000104111,北海道札幌市,清田緑小学校,北海道札幌市清田区清田七条3-12-10,1,,,42.98773129,141.4343699,
96,E0110000097111,北海道札幌市,清田有楽町内会館,北海道札幌市清田区清田二条2-1-31,,,,43.00475955,141.4312833,
97,E0110000102111,北海道札幌市,清田中央総合会館（清田中央まちづくりセンター・児童会館）,北海道札幌市清田区清田六条2-10-1,,,,42.99402785,141.4306008,
98,E0110000106111,北海道札幌市,真栄小学校,北海道札幌市清田区美しが丘一条1-1-10,1,,,42.98972212,141.4480643,
99,E0110000107111,北海道札幌市,真栄中学校,北海道札幌市清田区美しが丘一条1-2-10,1,,,42.9889491,141.4486169,
100,E0110000108111,北海道札幌市,里塚町内会会館,北海道札幌市清田区美しが丘一条8-7-3,,,,42.97820069,141.466034,
101,E0110000677111,北海道札幌市,ベルコ清田シティホール,北海道札幌市清田区美しが丘三条3-8-1,,,,42.9829023840316,141.45014867082,
102,E0110000110111,北海道札幌市,美しが丘緑小学校,北海道札幌市清田区美しが丘四条5-8-1,1,,,42.97773605,141.4524522,
103,E0110000109111,北海道札幌市,美しが丘小学校,北海道札幌市清田区美しが丘二条5-1-1,1,,,42.98371269,141.4540632,
104,E0110000111111,北海道札幌市,清田区体育館,北海道札幌市清田区平岡一条5-4-1,1,,,42.99125898,141.4521979,
105,E0110000119111,北海道札幌市,平岡小学校,北海道札幌市清田区平岡九条2-5-1,1,,,43.0153188,141.4587972,
106,E0110000116111,北海道札幌市,平岡中央小学校,北海道札幌市清田区平岡五条3-9-1,1,,,43.00601271,141.4569584,
107,E0110000117111,北海道札幌市,平岡中央中学校,北海道札幌市清田区平岡五条4-7-1,1,,,43.00445451,141.4580846,
108,E0110000121111,北海道札幌市,平岡公園小学校,北海道札幌市清田区平岡公園東5-9-1,1,,,43.00445947,141.4742377,
109,E0110000122111,北海道札幌市,平岡緑中学校,北海道札幌市清田区平岡公園東9-11-1,1,,,43.00090116,141.4759232,
110,E0110000115111,北海道札幌市,「遊楽館」平岡,北海道札幌市清田区平岡四条1-12-4,,,,43.006519709189,141.44998162471,
111,E0110000112111,北海道札幌市,厚別神社,北海道札幌市清田区平岡二条1-3-1,,,,43.00121107,141.4445674,
112,E0110000113111,北海道札幌市,平岡中学校,北海道札幌市清田区平岡二条5-4-10,1,,,42.99357286,141.4551071,
113,E0110000114111,北海道札幌市,平岡南小学校,北海道札幌市清田区平岡二条6-2-1,1,,,42.9928253,141.4571379,
114,E0110000118111,北海道札幌市,平岡児童会館,北海道札幌市清田区平岡八条1-6-22,,,,43.014454,141.456056,
115,E0110000123111,北海道札幌市,光円寺,北海道札幌市清田区北野一条2-9-40,,,,43.00882753,141.4312233,
116,E0110000126111,北海道札幌市,北野小学校,北海道札幌市清田区北野三条2-10-1,1,,,43.01494015,141.4333049,
117,E0110000127111,北海道札幌市,札幌清田高校,北海道札幌市清田区北野三条4-6-1,,,,43.01064119,141.4408832,
118,E0110000128111,北海道札幌市,北野連合会館（北野まちづくりセンター）,北海道札幌市清田区北野四条2-8-28,,,,43.01639732,141.4350444,
119,E0110000129111,北海道札幌市,北野台中学校,北海道札幌市清田区北野四条4-13-1,1,,,43.01279195,141.4432015,
120,E0110000130111,北海道札幌市,北野台小学校,北海道札幌市清田区北野四条5-4-80,1,,,43.01193388,141.4470824,
121,E0110000124111,北海道札幌市,北野平小学校,北海道札幌市清田区北野二条3-7-1,1,,,43.00972712,141.4349225,
122,E0110000125111,北海道札幌市,北野中学校,北海道札幌市清田区北野二条3-7-30,1,,,43.00867328,141.4365724,
123,E0110000131111,北海道札幌市,有明会館,北海道札幌市清田区有明106,,,,42.95195148,141.450938,
124,E0110000132111,北海道札幌市,有明小学校,北海道札幌市清田区有明141-2,1,,,42.95019101,141.4511583,
125,E0110000133111,北海道札幌市,三里塚小学校,北海道札幌市清田区里塚二条6-7-1,1,,,42.98073689,141.4685637,
126,E0110000135111,北海道札幌市,札幌市生涯学習センター「ちえりあ」,北海道札幌市西区宮の沢一条1-1-10,,,,43.08831308,141.274489,
127,E0110000136111,北海道札幌市,宮の沢中央会館,北海道札幌市西区宮の沢一条5-6-27,,,,43.09519257,141.2666521,
128,E0110000138111,北海道札幌市,手稲宮丘小学校,北海道札幌市西区宮の沢三条2-1-1,1,,,43.08468917,141.2663081,
129,E0110000137111,北海道札幌市,宮の沢会館,北海道札幌市西区宮の沢二条5-1-28,,,,43.09177125,141.2629195,
130,E0110000141111,北海道札幌市,浄恩寺,北海道札幌市西区琴似三条6-1-28,,,,43.07621816,141.2990139,
131,E0110000139111,北海道札幌市,西区民センター,北海道札幌市西区琴似二条7-1-21,,,,43.07415505,141.2997611,
132,E0110000140111,北海道札幌市,琴似小学校,北海道札幌市西区琴似二条7-1-30,1,,,43.07511766,141.2992337,
133,E0110000142111,北海道札幌市,浄国寺,北海道札幌市西区山の手一条12-1-2,,,,43.06097109,141.295604,
134,E0110000143111,北海道札幌市,山の手南小学校,北海道札幌市西区山の手一条9-6-1,1,,,43.06337288,141.2958817,
135,E0110000147111,北海道札幌市,山の手小学校,北海道札幌市西区山の手五条6-1-1,1,,,43.07028953,141.2909935,
136,E0110000692111,北海道札幌市,市立札幌山の手支援学校体育館,北海道札幌市西区山の手五条8-1-38,,,,43.0701078343457,141.2880177160465,
137,E0110000146111,北海道札幌市,琴似中学校,北海道札幌市西区山の手四条2-1-1,1,,,43.07150869,141.2965774,
138,E0110000144111,北海道札幌市,日登寺,北海道札幌市西区山の手二条1-1-39,,,,43.07030186,141.3022592,
139,E0110000145111,北海道札幌市,札幌山の手高校,北海道札幌市西区山の手二条8-5-12,,,,43.066387,141.294095,
140,E0110000149111,北海道札幌市,證誓寺,北海道札幌市西区西町南8-3-18,,,,43.07777434,141.2855942,
141,E0110000150111,北海道札幌市,西町会館（西町まちづくりセンター）,北海道札幌市西区西町南9-2-2,,,,43.07939257,141.2853182,
142,E0110000151111,北海道札幌市,手稲東児童会館,北海道札幌市西区西町北10-3-8,,,,43.082406,141.2869601,
143,E0110000153111,北海道札幌市,西園小学校,北海道札幌市西区西野一条7-4-1,1,,,43.08121812,141.2768521,
144,E0110000156111,北海道札幌市,宮の丘中学校,北海道札幌市西区西野三条10-9-1,1,,,43.08120325,141.2686414,
145,E0110000157111,北海道札幌市,西野福祉会館,北海道札幌市西区西野三条2-4-12,,,,43.07281983,141.281598,
146,E0110000158111,北海道札幌市,西野中央会館,北海道札幌市西区西野三条8-6-5,,,,43.07921377,141.2710639,
147,E0110000159111,北海道札幌市,西野地区センター,北海道札幌市西区西野四条2-8-30,,,,43.07123898,141.2795323,
148,E0110000160111,北海道札幌市,手稲東小学校,北海道札幌市西区西野四条3-7-1,1,,,43.07161042,141.2787511,
149,E0110000162111,北海道札幌市,西野あおい保育園,北海道札幌市西区西野七条8-14-5,,,,43.0719882,141.2642443,
150,E0110000679111,北海道札幌市,ベルコシティホール札幌西,北海道札幌市西区西野二条3-2-8,,,,43.0751597572526,141.282835641987,
151,E0110000155111,北海道札幌市,手稲東中学校,北海道札幌市西区西野二条5-3-1,1,,,43.07775747,141.2803537,
152,E0110000163111,北海道札幌市,西野小学校,北海道札幌市西区西野八条4-4-1,1,,,43.06338964,141.2695281,
153,E0110000164111,北海道札幌市,西野第二小学校,北海道札幌市西区西野八条7-1-1,1,,,43.06761437,141.2630677,
154,E0110000165111,北海道札幌市,西野中学校,北海道札幌市西区西野八条7-5-1,1,,,43.06625502,141.2618095,
155,E0110000161111,北海道札幌市,昭和会館（西野まちづくりセンター）,北海道札幌市西区西野六条3-14-16,,,,43.0667173,141.2719352,
156,E0110000670111,北海道札幌市,西老人福祉センター,北海道札幌市西区二十四軒四条3-4-1,,,,43.0767300422792,141.308668041987,
157,E0110000166111,北海道札幌市,陵北中学校,北海道札幌市西区二十四軒二条3-1-23,1,,,43.0723893,141.3140717,
158,E0110000167111,北海道札幌市,二十四軒小学校,北海道札幌市西区二十四軒二条3-1-37,1,,,43.07296084,141.3130543,
159,E0110000170111,北海道札幌市,八軒会館（八軒まちづくりセンター）,北海道札幌市西区八軒一条西1-7-7,,,,43.08216431,141.3093032,
160,E0110000172111,北海道札幌市,八軒西小学校,北海道札幌市西区八軒三条西5-1-1,1,,,43.08845646,141.3063942,
161,E0110000174111,北海道札幌市,八軒小学校,北海道札幌市西区八軒四条西1-1-8,1,,,43.08581443,141.3121311,
162,E0110000178111,北海道札幌市,琴似中央小学校,北海道札幌市西区八軒七条東1-1-1,1,,,43.08677684,141.3179342,
163,E0110000171111,北海道札幌市,八軒東中学校,北海道札幌市西区八軒二条東3-1-20,1,,,43.07997703,141.3155622,
164,E0110000179111,北海道札幌市,八軒北小学校,北海道札幌市西区八軒八条西6-1-1,1,,,43.09347698,141.3095645,
165,E0110000180111,北海道札幌市,八軒中学校,北海道札幌市西区八軒八条西8-1-1,1,,,43.09520091,141.3061125,
166,E0110000176111,北海道札幌市,八軒中央会館（八軒中央まちづくりセンター）,北海道札幌市西区八軒六条西2-1-11,,,,43.08922723,141.3129523,
167,E0110000177111,北海道札幌市,はちけん地区センター,北海道札幌市西区八軒六条西2-2-1,,,,43.08909011,141.3119867,
168,E0110000187111,北海道札幌市,発寒福祉会館,北海道札幌市西区発寒五条3-12-20,,,,43.08693175,141.2942701,
169,E0110000188111,北海道札幌市,発寒中学校,北海道札幌市西区発寒五条7-1-1,1,,,43.08585784,141.2863491,
170,E0110000189111,北海道札幌市,発寒西小学校,北海道札幌市西区発寒五条7-1-2,1,,,43.08576164,141.2851204,
171,E0110000190111,北海道札幌市,西区体育館,北海道札幌市西区発寒五条8-9-1,1,,,43.08751069,141.2824489,
172,E0110000191111,北海道札幌市,西小学校,北海道札幌市西区発寒七条13-2-1,1,,,43.09629584,141.273098,
173,E0110000184111,北海道札幌市,発寒東小学校,北海道札幌市西区発寒十五条2-2-1,1,,,43.10215175,141.2969852,
174,E0110000185111,北海道札幌市,西陵中学校,北海道札幌市西区発寒十五条2-5-1,1,,,43.10316648,141.2970488,
175,E0110000183111,北海道札幌市,札幌琴似工業高等学校,北海道札幌市西区発寒十三条11-3-1,1,,,43.10146441,141.2885315,
176,E0110000181111,北海道札幌市,はっさむ地区センター,北海道札幌市西区発寒十条4-1-1,,,,43.09067562,141.2932918,
177,E0110000182111,北海道札幌市,発寒小学校,北海道札幌市西区発寒十条4-1-62,1,,,43.09140829,141.2928286,
178,E0110000186111,北海道札幌市,発寒南小学校,北海道札幌市西区発寒二条4-1-1,1,,,43.08176127,141.2934052,
179,E0110000192111,北海道札幌市,福井野小学校,北海道札幌市西区福井6-11-1,1,,,43.05523759,141.2660481,
180,E0110000193111,北海道札幌市,福井野中学校,北海道札幌市西区福井6-12-10,1,,,43.05636776,141.2649322,
181,E0110000194111,北海道札幌市,平和小学校,北海道札幌市西区平和三条8-2-1,1,,,43.05426348,141.2505149,
182,E0110000195111,北海道札幌市,札幌旭丘高校,北海道札幌市中央区旭ケ丘6-5-18,,,,43.03788194,141.3190196,
183,E0110000196111,北海道札幌市,円山西町町内会館,北海道札幌市中央区円山西町3-3-45,,,,43.04369158,141.305666,
184,E0110000197111,北海道札幌市,円山西町児童会館,北海道札幌市中央区円山西町8-1-50,,,,43.0453988,141.3058491,
185,E0110000200111,北海道札幌市,曹洞宗大乗院薬王寺本堂,北海道札幌市中央区宮の森1263-3,,,,43.03887819,141.2871883,
186,E0110000201111,北海道札幌市,大倉山ジャンプ競技場本部棟,北海道札幌市中央区宮の森1274,,,,43.0518104979097,141.290868038397,
187,E0110000202111,北海道札幌市,宮の森中学校,北海道札幌市中央区宮の森一条16-5-1,1,,,43.04649846,141.2953437,
188,E0110000205111,北海道札幌市,大倉山小学校,北海道札幌市中央区宮の森三条13-6-20,1,,,43.05131635,141.2972278,
189,E0110000206111,北海道札幌市,北海道森林管理局,北海道札幌市中央区宮の森三条7-70,,,,43.06265804168,141.30335551179,
190,E0110000207111,北海道札幌市,三角山小学校,北海道札幌市中央区宮の森四条11-4-1,1,,,43.05720776,141.2956761,
191,E0110000208111,北海道札幌市,宮の森小学校,北海道札幌市中央区宮の森四条6-1-2,1,,,43.06397399,141.3026297,
192,E0110000209111,北海道札幌市,札幌西高校,北海道札幌市中央区宮の森四条8-1-1,,,,43.06308577,141.3000879,
193,E0110000203111,北海道札幌市,宮の森明和地区会館（宮の森まちづくりセンター）,北海道札幌市中央区宮の森二条11-1-3,,,,43.05679923,141.3031943,
194,E0110000204111,北海道札幌市,宮の森会館（宮の森児童会館）,北海道札幌市中央区宮の森二条5-2-21,,,,43.06196104,141.3090581,
195,E0110000210111,北海道札幌市,中央小学校,北海道札幌市中央区大通東6-12-1,1,,,43.06245762,141.3659106,
196,E0110000212111,北海道札幌市,中島児童会館,北海道札幌市中央区中島公園1-1,,,,43.04768203,141.3545523,
197,E0110000230111,北海道札幌市,サービス付き高齢者向け住宅「ウィステリア南１条」,北海道札幌市中央区南一条西14-291-81,,,,43.056187264727,141.33556751115,
198,E0110000245111,北海道札幌市,旭山公園通地区センター,北海道札幌市中央区南九条西18-1-32,,,,43.0471727,141.3298299,
199,E0110000246111,北海道札幌市,南円山会館（南円山まちづくりセンター）,北海道札幌市中央区南九条西21-1-1,,,,43.04693306,141.3259484,
200,E0110000247111,北海道札幌市,啓明中学校,北海道札幌市中央区南九条西22-2-1,1,,,43.04437238,141.32286,
201,E0110000243111,北海道札幌市,西創成会館（西創成まちづくりセンター）,北海道札幌市中央区南五条西7-3,,,,43.05345677,141.3481625,
202,E0110000691111,北海道札幌市,中央区民センター,北海道札幌市中央区南三条西11,,,,43.055237,141.341202,
203,E0110000241111,北海道札幌市,資生館小学校,北海道札幌市中央区南三条西7-1-1,1,,,43.05566505,141.3476291,
204,E0110000242111,北海道札幌市,北海寺,北海道札幌市中央区南三条東4-1,,,,43.059011,141.362427,
205,E0110000215111,北海道札幌市,曙会館（曙まちづくりセンター）,北海道札幌市中央区南十一条西10-1-6,,,,43.04538342,141.3439981,
206,E0110000216111,北海道札幌市,幌西会館（幌西まちづくりセンター）,北海道札幌市中央区南十一条西14-1-20,,,,43.04487631,141.3361773,
207,E0110000217111,北海道札幌市,妙心寺,北海道札幌市中央区南十一条西9-2-10,,,,43.04550426,141.3455018,
208,E0110000218111,北海道札幌市,あけぼのアート＆コミュニティセンター,北海道札幌市中央区南十一条西9-4-1,,,,43.04545302,141.3446961,
209,E0110000222111,北海道札幌市,誓願寺,北海道札幌市中央区南十三条西9-3-8,,,,43.04211607,141.3463122,
210,E0110000223111,北海道札幌市,山鼻小学校,北海道札幌市中央区南十四条西10-1-1,1,,,43.04137581,141.3447047,
211,E0110000224111,北海道札幌市,伏見会館,北海道札幌市中央区南十四条西18-6-30,,,,43.040516,141.329407,
212,E0110000225111,北海道札幌市,瑞正寺,北海道札幌市中央区南十四条西8-1-38,,,,43.04193497,141.3484141,
213,E0110000213111,北海道札幌市,幌西小学校,北海道札幌市中央区南十条西17-1-1,1,,,43.04584972,141.3314216,
214,E0110000214111,北海道札幌市,緑丘小学校,北海道札幌市中央区南十条西22-3-1,1,,,43.04308651,141.3234366,
215,E0110000219111,北海道札幌市,こうさい保育園,北海道札幌市中央区南十二条西16-1-5,,,,43.043292836223,141.33411873657,
