id,camera_id,title,river,location,lat,lon,image_url,live_url,page_url,provider
okayama-webcam-108449030,108449030,西川／新見市金谷（河本ダム）,西川,岡山県新見市金谷,34.96,133.458542,https://cam.river.go.jp/cam/now/108449030.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&clat=34.98204958367104&clon=133.45333099365237&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=108449030&ownCd=8449&sysCamId=8449030,岡山県・国土交通省 川の防災情報
okayama-webcam-108449003,108449003,千町川／瀬戸内市邑久町本庄（明見橋）,千町川,岡山県瀬戸内市邑久町本庄,34.661281,134.121213,https://cam.river.go.jp/cam/now/108449003.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&clat=34.66582890455926&clon=134.13534164428714&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=108449003&ownCd=8449&sysCamId=8449003,岡山県・国土交通省 川の防災情報
okayama-webcam-34.397845-133.555298,34.397845-133.555298,川の防災情報,川の防災情報,川の防災情報,34.397844946449865,133.55529785156253,,,https://www.river.go.jp/kawabou/pc/ov?zm=7&area=87&clat=34.397844946449865&clon=133.55529785156253&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1,岡山県・国土交通省 川の防災情報
okayama-webcam-108449038,108449038,倉敷川／倉敷市藤戸町藤戸（藤戸大橋）,倉敷川,岡山県倉敷市藤戸町藤戸,34.560998,133.808163,https://cam.river.go.jp/cam/now/108449038.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=14&clat=34.56778607530845&clon=133.78343582153323&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=108449038&ownCd=8449&sysCamId=8449038,岡山県・国土交通省 川の防災情報
okayama-webcam-108449073,108449073,足守川／岡山市北区延友,足守川,岡山県岡山市北区延友,34.634018,133.866815,https://cam.river.go.jp/cam/now/108449073.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&clat=34.63857501742478&clon=133.87561798095706&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=108449073&ownCd=8449&sysCamId=8449073,岡山県・国土交通省 川の防災情報
okayama-webcam-108449035,108449035,足守川／岡山市北区撫川（撫川橋）,足守川,岡山県岡山市北区撫川,34.642015,133.842031,https://cam.river.go.jp/cam/now/108449035.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&clat=34.63857501742478&clon=133.87561798095706&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=108449035&ownCd=8449&sysCamId=8449035,岡山県・国土交通省 川の防災情報
okayama-webcam-108449036,108449036,足守川／岡山市北区門前（生石橋）,足守川,岡山県岡山市北区門前,34.693287,133.807768,https://cam.river.go.jp/cam/now/108449036.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&clat=34.6682290765873&clon=133.82909774780276&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=108449036&ownCd=8449&sysCamId=8449036,岡山県・国土交通省 川の防災情報
okayama-webcam-108449062,108449062,滝川／勝央町平（太平橋）,滝川,岡山県勝田郡勝央町平,35.045278,134.116083,https://cam.river.go.jp/cam/now/108449062.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&clat=35.082269893755196&clon=134.14186477661136&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=108449062&ownCd=8449&sysCamId=8449062,岡山県・国土交通省 川の防災情報
okayama-webcam-108449006,108449006,滝川／美作市明見（三星大橋）,滝川,岡山県美作市明見,35.013245,134.148643,https://cam.river.go.jp/cam/now/108449006.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&clat=34.986128262717195&clon=134.17997360229495&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=108449006&ownCd=8449&sysCamId=8449006,岡山県・国土交通省 川の防災情報
okayama-webcam-108449065,108449065,誕生寺川／久米南町下弓削（西入橋）,誕生寺川,岡山県久米郡久米南町下弓削,34.927111,133.957778,https://cam.river.go.jp/cam/now/108449065.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&clat=34.9465987165995&clon=133.9798164367676&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=108449065&ownCd=8449&sysCamId=8449065,岡山県・国土交通省 川の防災情報
okayama-webcam-108449066,108449066,通谷川／美咲町西川（利当橋）,通谷川,岡山県久米郡美咲町西川,34.974,133.834056,https://cam.river.go.jp/cam/now/108449066.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&clat=34.946176590087454&clon=133.90617370605472&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=108449066&ownCd=8449&sysCamId=8449066,岡山県・国土交通省 川の防災情報
okayama-webcam-108449072,108449072,備中川／真庭市下方（紙屋橋）,備中川,岡山県真庭市下方,35.004034,133.73541,https://cam.river.go.jp/cam/now/108449072.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&clat=35.009049470937754&clon=133.79116058349612&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=108449072&ownCd=8449&sysCamId=8449072,岡山県・国土交通省 川の防災情報
okayama-webcam-108449055,108449055,備中川／真庭市上水田（上水田橋）,備中川,岡山県真庭市上水田,34.966222,133.645694,https://cam.river.go.jp/cam/now/108449055.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&clat=34.98289346497135&clon=133.64542007446292&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=108449055&ownCd=8449&sysCamId=8449055,岡山県・国土交通省 川の防災情報
okayama-webcam-108449025,108449025,尾坂川／笠岡市甲弩（寺道橋）,尾坂川,岡山県笠岡市甲弩,34.59379,133.548899,https://cam.river.go.jp/cam/now/108449025.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&clat=34.553932081973954&clon=133.4983062744141&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=108449025&ownCd=8449&sysCamId=8449025,岡山県・国土交通省 川の防災情報
okayama-webcam-108449020,108449020,高梁川／総社市日羽（日羽水位観測所）,高梁川,岡山県総社市日羽,34.714282,133.681458,https://cam.river.go.jp/cam/now/108449020.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=14&clat=34.69942498433551&clon=133.71417045593265&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=108449020&ownCd=8449&sysCamId=8449020,岡山県・国土交通省 川の防災情報
okayama-webcam-108449063,108449063,名義川／奈義町広岡（八幡殿橋）,名義川,岡山県勝田郡奈義町広岡,35.119556,134.170444,https://cam.river.go.jp/cam/now/108449063.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&clat=35.082269893755196&clon=134.14186477661136&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=108449063&ownCd=8449&sysCamId=8449063,岡山県・国土交通省 川の防災情報
okayama-webcam-108449040,108449040,里見川／浅口市金光町占見新田（新御影橋）,里見川,岡山県浅口市金光町,34.541539,133.626907,https://cam.river.go.jp/cam/now/108449040.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=14&clat=34.532015443274304&clon=133.65074157714847&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=108449040&ownCd=8449&sysCamId=8449040,岡山県・国土交通省 川の防災情報
okayama-webcam-108449041,108449041,里見川／倉敷市玉島中央町（大正橋）,里見川,岡山県倉敷市玉島中央町,34.545005,133.667335,https://cam.river.go.jp/cam/now/108449041.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=15&clat=34.54385821475194&clon=133.6788082122803&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=108449041&ownCd=8449&sysCamId=8449041,岡山県・国土交通省 川の防災情報
okayama-webcam-108449042,108449042,溜川／倉敷市玉島一丁目（新橋）,溜川,岡山県倉敷市玉島一丁目,34.545107,133.673729,https://cam.river.go.jp/cam/now/108449042.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=15&clat=34.543646120229475&clon=133.67842197418216&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=108449042&ownCd=8449&sysCamId=8449042,岡山県・国土交通省 川の防災情報
okayama-webcam-108449039,108449039,六間川／倉敷市茶屋町（鶴城橋）,六間川,岡山県倉敷市茶屋町,34.569937,133.819481,https://cam.river.go.jp/cam/now/108449039.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=14&clat=34.56693793795088&clon=133.81605148315433&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=108449039&ownCd=8449&sysCamId=8449039,岡山県・国土交通省 川の防災情報
